Navn: MPC Container Ships                     PE: -1093.33                      PB: 7.42                
Navn: FLEX LNG                                PE: -239.0                        PB: 1.03                
Navn: ContextVision                           PE: -200.74                       PB: 7.09                
Navn: Gaming Innovation Group                 PE: -57.13                        PB: 2.01                
Navn: NEL                                     PE: -41.82                        PB: 3.26                
Navn: Zalaris                                 PE: -39.24                        PB: 4.55                
Navn: Aqualis                                 PE: -35.45                        PB: 5.82                
Navn: Norwegian Energy Company                PE: -35.15                        PB: 3.43                
Navn: Techstep                                PE: -33.0                         PB: 1.06                
Navn: Photocure                               PE: -27.03                        PB: 4.59                
Navn: Petrolia                                PE: -25.0                         PB: 0.68                
Navn: Akastor                                 PE: -15.27                        PB: 0.61                
Navn: Borr Drilling                           PE: -14.25                        PB: 0.8                 
Navn: InterOil Exploration and Production     PE: -14.09                        PB: -3.41               
Navn: PCI Biotech Holding                     PE: -13.59                        PB: 16.13               
Navn: Magseis Fairfield                       PE: -13.12                        PB: 1.15                
Navn: SeaBird Exploration                     PE: -13.08                        PB: 1.2                 
Navn: Spectrum                                PE: -12.64                        PB: 1.48                
Navn: Otello Corporation                      PE: -8.68                         PB: 0.46                
Navn: Biotec Pharmacon                        PE: -8.41                         PB: 3.63                
Navn: Navamedic                               PE: -8.27                         PB: 1.12                
Navn: Wentworth Resources                     PE: -8.12                         PB: 0.25                
Navn: BW LPG                                  PE: -8.06                         PB: 0.43                
Navn: Nordic Nanovector                       PE: -7.7                          PB: 3.8                 
Navn: BerGenBio                               PE: -6.95                         PB: 3.73                
Navn: Goodtech                                PE: -5.87                         PB: 0.36                
Navn: Panoro Energy                           PE: -5.8                          PB: 3.34                
Navn: Team Tankers International              PE: -5.51                         PB: 0.38                
Navn: Havyard Group                           PE: -5.14                         PB: 0.49                
Navn: Awilco Drilling                         PE: -4.58                         PB: 0.46                
Navn: Insr Insurance Group                    PE: -4.55                         PB: 2.33                
Navn: Questerre Energy Corporation            PE: -4.15                         PB: 0.44                
Navn: Frontline                               PE: -3.6                          PB: 0.85                
Navn: Archer                                  PE: -3.57                         PB: 0.37                
Navn: Hiddn Solutions                         PE: -3.14                         PB: 6.14                
Navn: GC Rieber Shipping                      PE: -3.03                         PB: 0.35                
Navn: Bergen Group                            PE: -2.81                         PB: 0.57                
Navn: Targovax                                PE: -2.8                          PB: 0.77                
Navn: Borgestad                               PE: -2.64                         PB: 0.13                
Navn: Cxense                                  PE: -2.57                         PB: 1.47                
Navn: Bonheur                                 PE: -2.54                         PB: 0.35                
Navn: Reach Subsea                            PE: -2.44                         PB: 0.18                
Navn: NEXT Biometrics Group                   PE: -2.33                         PB: 2.38                
Navn: Avance Gas Holding                      PE: -2.08                         PB: 0.27                
Navn: Petroleum Geo-Services                  PE: -1.94                         PB: 0.57                
Navn: Prosafe                                 PE: -1.56                         PB: 0.28                
Navn: Treasure                                PE: -1.34                         PB: 0.54                
Navn: Electromagnetic Geoservices             PE: -1.16                         PB: 0.57                
Navn: Incus Investor                          PE: -0.83                         PB: 0.37                
Navn: DOF                                     PE: -0.71                         PB: 0.11                
Navn: Storm Real Estate                       PE: -0.67                         PB: 0.42                
Navn: IDEX                                    PE: -0.65                         PB: 4.84                
Navn: Polarcus                                PE: -0.56                         PB: 0.39                
Navn: Element                                 PE: -0.51                         PB: 0.79                
Navn: REC Silicon                             PE: -0.37                         PB: 0.39                
Navn: Solstad Offshore                        PE: -0.19                         PB: 0.11                
Navn: Thin Film Electronics                   PE: -0.18                         PB: 0.84                
Navn: Havila Shipping                         PE: -0.16                         PB: 0.08                
Navn: Oceanteam                               PE: -0.11                         PB: 0.02                
Navn: Avocet Mining PLC                       PE: -0.06                         PB: -0.02               
Navn: Fred. Olsen Energy                      PE: -0.02                         PB: 0.02                
Navn: Atlantic Petroleum                      PE: 0.0                           PB: 0.0                 
Navn: Aurskog Sparebank                       PE: 0.0                           PB: 0.0                 
Navn: Belships                                PE: 0.0                           PB: 0.0                 
Navn: Eidesvik Offshore                       PE: 0.0                           PB: 0.0                 
Navn: Elkem                                   PE: 0.0                           PB: 0.0                 
Navn: EMAS Offshore                           PE: 0.0                           PB: 0.0                 
Navn: Fjordkraft Holding                      PE: 0.0                           PB: 0.0                 
